No. Pesanan,Status Pesanan,Alasan Pembatalan,Status Pembatalan/ Pengembalian,No. Resi,Opsi Pengiriman,Antar ke counter/ pick-up,Pesanan Harus Dikirimkan Sebelum (Menghindari keterlambatan),Waktu Pengiriman Diatur,Waktu Pesanan Dibuat,Waktu Pembayaran Dilakukan,Metode Pembayaran,SKU Induk,Nama Produk,Nomor Referensi SKU,Nama Variasi,Harga Awal,Harga Setelah Diskon,Jumlah,Returned quantity,Total Harga Produk,Total Diskon,Diskon Dari Penjual,Diskon Dari Shopee,Berat Produk,Jumlah Produk di Pesan,Total Berat,Nama Gudang,Voucher Ditanggung Penjual,Cashback Koin,Voucher Ditanggung Shopee,Paket Diskon,Paket Diskon (Diskon dari Shopee),Paket Diskon (Diskon dari Penjual),Potongan Koin Shopee,Diskon Kartu Kredit,Ongkos Kirim Dibayar oleh Pembeli,Estimasi Potongan Biaya Pengiriman,Ongkos Kirim Pengembalian Barang,Total Pembayaran,Perkiraan Ongkos Kirim,Catatan dari Pembeli,Catatan,Username (Pembeli),Nama Penerima,No. Telepon,Alamat Pengiriman,Kota/Kabupaten,Provinsi,Waktu Pesanan Selesai
SP396526499506,Selesai,,,SHP54809177648,Standar,Antar ke counter,2023-01-05 17:13:33,2023-01-04 16:13:33,2023-01-03 17:13:33,2023-01-03 17:55:33,ShopeePay,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,GDS-SPR-VAN-60,Spray 60ml - Vanilla,59000,49000,1,0,49000,10000,4000,6000,0.15,1,0.15,Gudang Medan,0,1000,0,0,0,0,1000,0,15000,15000,0,63000,15000,,,nadia_wibowo577,Citra Gunawan,8090463766,"Jl. Merdeka No. 178, Jakarta Selatan",Jakarta Selatan,DKI Jakarta,2023-01-08 20:13:33
SP193079706303,Selesai,,,SHP45569377850,Hemat,Antar ke counter,2023-01-05 20:20:50,2023-01-04 20:20:50,2023-01-03 20:20:50,2023-01-03 22:07:50,ShopeePay,GDS-FOA-MAN-60,Gendes Feminine Wash Foam Mango 60ml,GDS-FOA-MAN-60,Foam 60ml - Mango,59000,54000,1,0,54000,5000,0,5000,0.15,1,0.15,Gudang Surabaya,0,1000,0,0,0,0,1000,0,15000,15000,0,68000,15000,Tolong dikemas rapi,,elsa_cahyani551,Mega Kurniawan,8125129311,"Jl. Merdeka No. 186, Malang",Malang,Jawa Timur,2023-01-09 00:20:50
SP873335346198,Selesai,,,SHP25515849323,Hemat,Antar ke counter,2023-01-05 21:40:46,2023-01-04 22:40:46,2023-01-03 21:40:46,2023-01-04 00:36:46,OVO,GDS-FOA-BUB-60,Gendes Feminine Wash Foam Bubblegum 60ml,GDS-FOA-BUB-60,Foam 60ml - Bubblegum,59000,45000,1,0,45000,14000,5600,8400,0.15,1,0.15,Gudang Bandung,0,0,0,0,0,0,0,0,22000,22000,0,67000,22000,,,tika_nugraha13,Lina Kusuma,8063301658,"Jl. Ahmad Yani No. 122, Bogor",Bogor,Jawa Barat,2023-01-09 22:40:46
SP255749522616,Selesai,,,SHP39953919503,Hemat,Antar ke counter,2023-01-06 10:06:47,2023-01-05 14:06:47,2023-01-04 10:06:47,2023-01-04 11:18:47,ShopeePay,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,51000,1,0,51000,8000,3200,4800,0.15,1,0.15,Gudang Bandung,0,0,5000,0,0,0,0,0,22000,22000,0,68000,22000,,,putri_santoso121,Lia Setiawan,8326949684,"Jl. Ahmad Yani No. 110, Jakarta Pusat",Jakarta Pusat,DKI Jakarta,2023-01-06 12:06:47
SP839077764457,Selesai,,,SHP69346584693,Hemat,Pick-up,2023-01-06 17:31:02,2023-01-05 14:31:02,2023-01-04 17:31:02,2023-01-04 17:35:02,Dana,GDS-FOA-MAN-20,Gendes Feminine Wash Foam Mango 20ml,GDS-FOA-MAN-20,Foam 20ml - Mango,29000,26000,1,0,26000,3000,0,3000,0.08,1,0.08,Gudang Medan,0,0,0,0,0,0,0,0,15000,15000,0,41000,15000,,,yoga_rahayu997,Laras Purnama,8919457575,"Jl. Gatot Subroto No. 77, Malang",Malang,Jawa Timur,2023-01-08 18:31:02
SP595915789971,Pengembalian Dana/Barang,,Pengembalian,SHP71861451979,Instant,Pick-up,2023-01-07 07:27:00,2023-01-06 08:27:00,2023-01-05 07:27:00,2023-01-05 08:12:00,Transfer Bank,GDS-SPR-BUB-20,Gendes Feminine Wash Spray Bubblegum 20ml,GDS-SPR-BUB-20,Spray 20ml - Bubblegum,29000,28000,1,1,28000,1000,0,1000,0.08,1,0.08,Gudang Bandung,0,0,0,0,0,0,0,0,22000,22000,22000,22000,22000,,,wati_permata133,Dewi Sari,8562650622,"Jl. Diponegoro No. 48, Sleman",Sleman,Yogyakarta,2023-01-09 11:27:00
SP633391756811,Selesai,,,SHP41257352915,Instant,Antar ke counter,2023-01-07 23:35:28,2023-01-06 21:35:28,2023-01-05 23:35:28,2023-01-06 01:01:28,Kartu Kredit,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,52000,1,0,52000,7000,2800,4200,0.15,1,0.15,Gudang Medan,0,0,5000,0,0,0,0,0,12000,12000,0,59000,12000,,,tika_setiawan505,Rizky Lestari,8511579423,"Jl. Diponegoro No. 127, Semarang",Semarang,Jawa Tengah,2023-01-10 04:35:28
SP474872893695,Selesai,,,SHP79275366111,Standar,Pick-up,2023-01-10 11:41:31,2023-01-09 13:41:31,2023-01-08 11:41:31,2023-01-08 14:21:31,Transfer Bank,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,GDS-SPR-VAN-60,Spray 60ml - Vanilla,59000,46000,1,0,46000,13000,5200,7800,0.15,1,0.15,Gudang Surabaya,5000,0,0,0,0,0,0,0,15000,15000,0,56000,15000,Kemas bubble wrap,,sari_pratama830,Nina Rahayu,8756335357,"Jl. Sudirman No. 143, Depok",Depok,Jawa Barat,2023-01-13 16:41:31
SP443680694402,Selesai,,,SHP89407880461,Express,Pick-up,2023-01-10 13:08:24,2023-01-09 12:08:24,2023-01-08 13:08:24,2023-01-08 15:46:24,Kartu Kredit,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,54000,1,0,54000,5000,0,5000,0.15,1,0.15,Gudang Jakarta Selatan,0,0,0,0,0,0,0,0,15000,15000,0,69000,15000,Tolong dikemas rapi,,arif_hartono742,Lina Susanto,8779417634,"Jl. Ahmad Yani No. 94, Badung",Badung,Bali,2023-01-14 15:08:24
SP692203892665,Selesai,,,SHP92953721112,Hemat,Pick-up,2023-01-10 15:44:59,2023-01-09 13:44:59,2023-01-08 15:44:59,2023-01-08 17:20:59,OVO,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,GDS-SPR-VAN-60,Spray 60ml - Vanilla,59000,54000,1,0,54000,5000,0,5000,0.15,1,0.15,Gudang Bandung,0,0,0,0,0,0,0,0,15000,15000,0,69000,15000,,,reni_susanto140,Ayu Santoso,8884366044,"Jl. Ahmad Yani No. 37, Jakarta Timur",Jakarta Timur,DKI Jakarta,2023-01-14 18:44:59
SP404671678377,Selesai,,,SHP24233895353,Express,Pick-up,2023-01-10 22:38:18,2023-01-10 00:38:18,2023-01-08 22:38:18,2023-01-09 00:19:18,COD,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,GDS-SPR-VAN-60,Spray 60ml - Vanilla,59000,52000,2,0,104000,14000,5600,8400,0.15,2,0.3,Gudang Medan,10000,0,0,0,0,0,0,0,18000,18000,0,112000,18000,Kemas bubble wrap,,yuni_gunawan307,Ratna Wijaya,8925010587,"Jl. Sudirman No. 37, Jakarta Selatan",Jakarta Selatan,DKI Jakarta,2023-01-14 03:38:18
SP662139319635,Selesai,,,SHP16736783456,Instant,Antar ke counter,2023-01-12 15:19:10,2023-01-11 11:19:10,2023-01-10 15:19:10,2023-01-10 15:40:10,Transfer Bank,GDS-FOA-BUB-60,Gendes Feminine Wash Foam Bubblegum 60ml,GDS-FOA-BUB-60,Foam 60ml - Bubblegum,59000,56000,1,0,56000,3000,0,3000,0.15,1,0.15,Gudang Jakarta Selatan,0,1000,0,0,0,0,1000,0,15000,15000,0,70000,15000,Kemas bubble wrap,,dewi_lestari657,Nina Sari,8218231555,"Jl. Merdeka No. 106, Gresik",Gresik,Jawa Timur,2023-01-15 18:19:10
SP938013614029,Selesai,,,SHP33401121353,Express,Antar ke counter,2023-01-13 16:14:54,2023-01-12 20:14:54,2023-01-11 16:14:54,2023-01-11 18:24:54,OVO,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,48000,1,0,48000,11000,4400,6600,0.15,1,0.15,Gudang Surabaya,0,2000,0,0,0,0,2000,0,18000,18000,0,64000,18000,Kemas bubble wrap,,nadia_hartono66,Hendra Rahayu,8037003322,"Jl. Diponegoro No. 82, Bogor",Bogor,Jawa Barat,2023-01-17 18:14:54
SP327787909506,Selesai,,,SHP88168939101,Hemat,Pick-up,2023-01-15 09:46:44,2023-01-14 11:46:44,2023-01-13 09:46:44,2023-01-13 10:48:44,QRIS,GDS-FOA-HAZ-20,Gendes Feminine Wash Foam Hazelnut 20ml,GDS-FOA-HAZ-20,Foam 20ml - Hazelnut,29000,28000,1,0,28000,1000,0,1000,0.08,1,0.08,Gudang Bandung,0,0,0,0,0,0,0,0,22000,22000,0,50000,22000,,,lia_lestari482,Lina Hartono,8582632809,"Jl. Sudirman No. 69, Metro",Metro,Lampung,2023-01-18 10:46:44
SP763338558088,Selesai,,,SHP11939820995,Express,Antar ke counter,2023-01-15 13:53:29,2023-01-14 13:53:29,2023-01-13 13:53:29,2023-01-13 15:51:29,OVO,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,52000,1,0,52000,7000,2800,4200,0.15,1,0.15,Gudang Medan,0,0,0,0,0,0,0,0,15000,15000,0,67000,15000,,,nadia_lestari369,Rina Cahyani,8133943945,"Jl. Gatot Subroto No. 14, Bekasi",Bekasi,Jawa Barat,2023-01-17 16:53:29
SP646347124701,Dibatalkan,Pembeli meminta pembatalan,Dibatalkan,,Instant,Pick-up,2023-01-15 14:48:37,2023-01-14 12:48:37,2023-01-13 14:48:37,,GoPay,GDS-FOA-MAN-60,Gendes Feminine Wash Foam Mango 60ml,GDS-FOA-MAN-60,Foam 60ml - Mango,59000,48000,1,0,48000,11000,4400,6600,0.15,1,0.15,Gudang Medan,5000,2000,0,0,0,0,2000,0,0,0,0,0,8000,,,putri_handayani607,Elsa Wijaya,8778943191,"Jl. Merdeka No. 8, Jakarta Barat",Jakarta Barat,DKI Jakarta,
SP913566301631,Selesai,,,SHP96824089474,Standar,Pick-up,2023-01-15 19:53:31,2023-01-14 17:53:31,2023-01-13 19:53:31,2023-01-13 22:30:31,ShopeePay,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,49000,1,0,49000,10000,4000,6000,0.15,1,0.15,Gudang Surabaya,5000,0,0,0,0,0,0,0,18000,18000,0,62000,18000,Tolong dikemas rapi,,budi_setiawan990,Dewi Permata,8014247310,"Jl. Gatot Subroto No. 45, Jakarta Utara",Jakarta Utara,DKI Jakarta,2023-01-16 22:53:31
SP844736758938,Selesai,,,SHP19515395156,Hemat,Pick-up,2023-01-16 12:50:10,2023-01-15 15:50:10,2023-01-14 12:50:10,2023-01-14 13:52:10,Dana,GDS-SPR-MAN-60,Gendes Feminine Wash Spray Mango 60ml,GDS-SPR-MAN-60,Spray 60ml - Mango,59000,55000,1,0,55000,4000,0,4000,0.15,1,0.15,Gudang Medan,0,2000,0,0,0,0,2000,0,22000,22000,0,75000,22000,Tolong dikemas rapi,,andi_handayani479,Andi Handayani,8620901447,"Jl. Ahmad Yani No. 69, Depok",Depok,Jawa Barat,2023-01-17 14:50:10
SP356804528968,Dibatalkan,Stok habis,Dibatalkan,,Standar,Antar ke counter,2023-01-17 09:31:35,2023-01-16 11:31:35,2023-01-15 09:31:35,,COD,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,54000,2,0,108000,10000,0,10000,0.15,2,0.3,Gudang Jakarta Selatan,0,0,0,0,0,0,0,0,0,0,0,0,18000,Kemas bubble wrap,,mega_wijaya855,Elsa Purnama,8778255882,"Jl. Sudirman No. 189, Tangerang",Tangerang,Banten,
SP377464129637,Selesai,,,SHP20444120651,Standar,Pick-up,2023-01-17 15:06:15,2023-01-16 18:06:15,2023-01-15 15:06:15,2023-01-15 17:55:15,GoPay,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,52000,1,0,52000,7000,2800,4200,0.15,1,0.15,Gudang Bandung,5000,0,5000,0,0,0,0,0,15000,15000,0,57000,15000,,,nina_putri169,Reza Wibowo,8205829582,"Jl. Diponegoro No. 36, Gowa",Gowa,Sulawesi Selatan,2023-01-20 19:06:15
SP456984458943,Selesai,,,SHP75862892834,Instant,Antar ke counter,2023-01-17 19:11:59,2023-01-16 15:11:59,2023-01-15 19:11:59,2023-01-15 21:18:59,Kartu Kredit,GDS-SPR-VAN-20,Gendes Feminine Wash Spray Vanilla 20ml,GDS-SPR-VAN-20,Spray 20ml - Vanilla,29000,25000,1,0,25000,4000,1600,2400,0.08,1,0.08,Gudang Surabaya,10000,2000,0,0,0,0,2000,0,22000,22000,0,35000,22000,Jangan sampai bocor,,reni_susanto8,Nova Purnama,8613723081,"Jl. Gatot Subroto No. 37, Semarang",Semarang,Jawa Tengah,2023-01-20 00:11:59
SP953958282627,Selesai,,,SHP32364270085,Standar,Pick-up,2023-01-17 21:20:51,2023-01-16 17:20:51,2023-01-15 21:20:51,2023-01-15 21:22:51,ShopeePay,GDS-FOA-BUB-60,Gendes Feminine Wash Foam Bubblegum 60ml,GDS-FOA-BUB-60,Foam 60ml - Bubblegum,59000,54000,2,0,108000,10000,0,10000,0.15,2,0.3,Gudang Jakarta Selatan,0,0,0,0,0,0,0,0,12000,12000,0,120000,12000,,,hendra_rahayu118,Reni Anggraini,8560945653,"Jl. Sudirman No. 110, Medan",Medan,Sumatera Utara,2023-01-17 22:20:51
SP747202570826,Selesai,,,SHP66255510916,Hemat,Pick-up,2023-01-17 21:29:26,2023-01-16 22:29:26,2023-01-15 21:29:26,2023-01-15 22:50:26,QRIS,GDS-BDL-SS-60,Gendes Bundle Spray+Spray 60ml,GDS-BDL-SS-60,Bundle Spray+Spray 60ml,110000,84000,1,0,84000,26000,10400,15600,0.3,1,0.3,Gudang Surabaya,0,0,0,0,0,0,0,0,18000,18000,0,102000,18000,Kemas bubble wrap,,tika_kusuma922,Rina Pratama,8174811317,"Jl. Gatot Subroto No. 192, Padang",Padang,Sumatera Barat,2023-01-18 01:29:26
SP240375954254,Pengembalian Dana/Barang,,Pengembalian,SHP10407823323,Hemat,Antar ke counter,2023-01-19 07:13:57,2023-01-18 10:13:57,2023-01-17 07:13:57,2023-01-17 10:08:57,QRIS,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,58000,2,2,116000,2000,0,2000,0.15,2,0.3,Gudang Jakarta Selatan,0,0,0,0,0,0,0,0,15000,15000,15000,15000,15000,,,reza_purnama794,Fajar Nugraha,8968049187,"Jl. Ahmad Yani No. 116, Pasuruan",Pasuruan,Jawa Timur,2023-01-20 11:13:57
SP952066981220,Selesai,,,SHP11069630090,Hemat,Pick-up,2023-01-20 09:42:45,2023-01-19 06:42:45,2023-01-18 09:42:45,2023-01-18 10:36:45,Kartu Kredit,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,GDS-SPR-VAN-60,Spray 60ml - Vanilla,59000,45000,1,0,45000,14000,5600,8400,0.15,1,0.15,Gudang Bandung,0,1000,5000,0,0,0,1000,0,8000,8000,0,47000,8000,,,putri_kusuma471,Lia Kurniawan,8597371122,"Jl. Ahmad Yani No. 190, Bengkalis",Bengkalis,Riau,2023-01-21 13:42:45
SP711759212133,Selesai,,,SHP44503778108,Hemat,Antar ke counter,2023-01-20 17:21:53,2023-01-19 21:21:53,2023-01-18 17:21:53,2023-01-18 19:45:53,ShopeePay,GDS-SPR-BUB-60,Gendes Feminine Wash Spray Bubblegum 60ml,GDS-SPR-BUB-60,Spray 60ml - Bubblegum,59000,51000,1,0,51000,8000,3200,4800,0.15,1,0.15,Gudang Medan,5000,1000,0,0,0,0,1000,0,8000,8000,0,53000,8000,,,fitri_anggraini415,Fitri Purnama,8768321021,"Jl. Diponegoro No. 48, Cimahi",Cimahi,Jawa Barat,2023-01-21 21:21:53
SP320040830930,Pengembalian Dana/Barang,,Pengembalian,SHP16698716980,Express,Pick-up,2023-01-21 21:06:44,2023-01-20 19:06:44,2023-01-19 21:06:44,2023-01-19 21:57:44,COD,GDS-SPR-BUB-20,Gendes Feminine Wash Spray Bubblegum 20ml,GDS-SPR-BUB-20,Spray 20ml - Bubblegum,29000,27000,2,2,54000,4000,0,4000,0.08,2,0.16,Gudang Bandung,0,2000,5000,0,0,0,2000,0,15000,15000,15000,15000,15000,Kemas bubble wrap,,dian_putri262,Sari Purnama,8080184980,"Jl. Sudirman No. 36, Bogor",Bogor,Jawa Barat,2023-01-24 22:06:44
SP180762006511,Selesai,,,SHP98619763445,Express,Antar ke counter,2023-01-23 08:12:23,2023-01-22 05:12:23,2023-01-21 08:12:23,2023-01-21 09:26:23,Transfer Bank,GDS-SPR-VAN-60,Gendes Feminine Wash Spray Vanilla 60ml,GDS-SPR-VAN-60,Spray 60ml - Vanilla,59000,53000,1,0,53000,6000,0,6000,0.15,1,0.15,Gudang Bandung,0,0,0,0,0,0,0,0,18000,18000,0,71000,18000,,,hendra_kurniawan761,Dito Susanto,8192365346,"Jl. Merdeka No. 193, Jakarta Utara",Jakarta Utara,DKI Jakarta,2023-01-24 13:12:23
SP971660983787,Selesai,,,SHP93663239055,Express,Pick-up,2023-01-23 10:06:27,2023-01-22 09:06:27,2023-01-21 10:06:27,2023-01-21 11:35:27,Transfer Bank,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,58000,1,0,58000,1000,0,1000,0.15,1,0.15,Gudang Medan,0,0,0,0,0,0,0,0,12000,12000,0,70000,12000,,,mira_rahayu773,Rizky Kusuma,8690618120,"Jl. Sudirman No. 72, Bantul",Bantul,Yogyakarta,2023-01-26 12:06:27
SP930586948588,Selesai,,,SHP76621127341,Standar,Antar ke counter,2023-01-23 19:57:34,2023-01-22 19:57:34,2023-01-21 19:57:34,2023-01-21 21:56:34,QRIS,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,58000,1,0,58000,1000,0,1000,0.15,1,0.15,Gudang Bandung,0,0,5000,0,0,0,0,0,22000,22000,0,75000,22000,Kemas bubble wrap,,ratna_nugraha198,Rizky Setiawan,8889144449,"Jl. Diponegoro No. 59, Jakarta Timur",Jakarta Timur,DKI Jakarta,2023-01-27 23:57:34
SP566423829812,Selesai,,,SHP45555981850,Standar,Antar ke counter,2023-01-24 18:03:18,2023-01-23 19:03:18,2023-01-22 18:03:18,2023-01-22 19:16:18,Transfer Bank,GDS-FOA-VAN-60,Gendes Feminine Wash Foam Vanilla 60ml,GDS-FOA-VAN-60,Foam 60ml - Vanilla,59000,56000,1,0,56000,3000,0,3000,0.15,1,0.15,Gudang Bandung,0,2000,0,0,0,0,2000,0,12000,12000,0,66000,12000,,,sari_kusuma398,Eka Wibowo,8853798214,"Jl. Ahmad Yani No. 53, Sidoarjo",Sidoarjo,Jawa Timur,2023-01-26 22:03:18
